ID,KECAMATAN,KODE KECAMATAN,
1,GARUM,35.05.11,
2,KADEMANGAN,35.05.04,
3,KANIGORO,35.05.10,
4,NGLEGOK,35.05.09,
5,SRENGAT,35.05.03,
6,SUTOJAYAN,35.05.12,
7,TALUN,35.05.14,
8,WLINGI,35.05.17,
