ID_RUAS,NO_RUAS,NAMA_RUAS,PANGKAL_RUAS,UJUNG_RUAS,LINGKUNGAN,ID_KELURAHAN,KODE_KELURAHAN,KELURAHAN,ID_KECAMATAN,,KECAMATAN,PANJANG,LEBAR,BAHU_JALAN,ID_PERKERASAN,PERKERASAN,ID_KONDISI,KONDISI,UTILITAS,START_X,START_Y,MID_X,MID_Y,END_X,END_Y,GEOMETRY,IMAGE
11,11,JLN WILIS,KEL SRENGAT ( TEGALA ),JLN KAWI,KAUMAN,10,1010,KAUMAN,5,35.05.03,SRENGAT,154.5849497,3,"1/0,5",2,ASPAL,2,SEDANG,,112.0669616,-8.07157037,112.0676628,-8.071582899,112.0683639,-8.071595428,"{""type"":""MultiPolygon"",""coordinates"":[[[[112.06836452,-8.071559258],[112.068375703,-8.071561229],[112.068385728,-8.071566547],[112.068393613,-8.071574692],[112.068398586,-8.071584868],[112.068400161,-8.071596076],[112.068398184,-8.071607222],[112.068392848,-8.071617213],[112.068384675,-8.071625071],[112.068374465,-8.071630028],[112.068363218,-8.071631598],[112.066960981,-8.07160654],[112.066949798,-8.07160457],[112.066939774,-8.071599251],[112.066931889,-8.071591106],[112.066926915,-8.071580931],[112.06692534,-8.071569722],[112.066927317,-8.071558576],[112.066932654,-8.071548585],[112.066940827,-8.071540727],[112.066951036,-8.07153577],[112.066962283,-8.0715342],[112.06836452,-8.071559258]]]]}",11.jpg
12,12,JLN KAWI GG IV,JL KAWI,JL MASJID,KAUMAN,10,1010,KAUMAN,5,35.05.03,SRENGAT,217.2137104,4,0,4,PAVING,2,SEDANG,,112.0683825,-8.071375233,112.0693641,-8.071460585,112.0703422,-8.071571117,"{""type"":""MultiPolygon"",""coordinates"":[[[[112.070095538,-8.071487874],[112.070099145,-8.07148837],[112.070348971,-8.071535574],[112.07035966,-8.071539396],[112.070368642,-8.071546323],[112.070375036,-8.071555677],[112.070378216,-8.071566542],[112.070377873,-8.071577855],[112.070374038,-8.071588509],[112.070367088,-8.07159746],[112.070357702,-8.071603832],[112.0703468,-8.071607002],[112.070335449,-8.07160666],[112.070087413,-8.071559794],[112.068379343,-8.071411272],[112.068368323,-8.071408536],[112.068358691,-8.071402541],[112.068351389,-8.071393872],[112.068347132,-8.071383379],[112.068346337,-8.071372089],[112.068349082,-8.071361106],[112.068355098,-8.071351506],[112.068363796,-8.071344229],[112.068374324,-8.071339986],[112.068385653,-8.071339194],[112.070095538,-8.071487874]]]]}",12.jpg
13,13,JLN BROMO,KEL SRENGAT ( PERTIGAAN),KEL DANDONG,KAUMAN,10,1010,KAUMAN,5,35.05.03,SRENGAT,456.3648973,4,"0,7/0,5",1,HOTMIX,3,RUSAK RINGAN,SALURAN KIRI SETELAH PAGAR,112.0663019,-8.072701537,112.0690564,-8.072682962,112.0718111,-8.07274021,"{""type"":""MultiPolygon"",""coordinates"":[[[[112.067068708,-8.072634674],[112.067070068,-8.072634645],[112.068270552,-8.072631514],[112.068271355,-8.07263152],[112.070441954,-8.072673707],[112.070442053,-8.072673709],[112.071811937,-8.072704043],[112.071823112,-8.072706062],[112.071833113,-8.072711423],[112.071840963,-8.072719602],[112.071845893,-8.072729798],[112.07184742,-8.072741014],[112.071845395,-8.07275215],[112.071840016,-8.072762118],[112.071831809,-8.072769942],[112.071821578,-8.072774855],[112.071810325,-8.072776377],[112.070440489,-8.072746044],[112.06827034,-8.072703866],[112.067070938,-8.072706995],[112.066303383,-8.072737684],[112.066292104,-8.072736363],[112.066281787,-8.072731633],[112.066273441,-8.072723957],[112.066267884,-8.072714086],[112.066265659,-8.072702987],[112.066266984,-8.072691746],[112.06627173,-8.072681464],[112.066279432,-8.072673146],[112.066289336,-8.072667608],[112.066300473,-8.07266539],[112.067068708,-8.072634674]]]]}",13.jpg
14,14,JLN KAWI GG V,JLN BROMO GG I,JLN KAWI,KAUMAN,10,1010,KAUMAN,5,35.05.03,SRENGAT,197.7172664,3,"0,5/0,5",2,ASPAL,2,SEDANG,,112.0663536,-8.074079712,112.0672468,-8.073998972,112.0681395,-8.073912338,"{""type"":""MultiPolygon"",""coordinates"":[[[[112.067223921,-8.073964844],[112.068135944,-8.073876332],[112.06814728,-8.073877011],[112.068157851,-8.073881148],[112.068166621,-8.073888338],[112.068172734,-8.073897877],[112.068175589,-8.073908832],[112.068174908,-8.07392013],[112.068170757,-8.073930665],[112.068163543,-8.073939406],[112.068153972,-8.073945498],[112.06814298,-8.073948344],[112.067230835,-8.074036867],[112.06723059,-8.07403689],[112.066356836,-8.074115741],[112.066345505,-8.074114985],[112.066334962,-8.074110777],[112.06632624,-8.074103528],[112.066320193,-8.074093948],[112.066317412,-8.074082974],[112.06631817,-8.074071681],[112.066322392,-8.074061174],[112.066329666,-8.074052482],[112.066339279,-8.074046455],[112.066350289,-8.074043684],[112.067223921,-8.073964844]]]]}",14.jpg
15,15,JLN H ZAKARIA,JLN KAWI,KEL DANDONG,KAUMAN,10,1010,KAUMAN,5,35.05.03,SRENGAT,627.7962276,4,2/1,1,HOTMIX,3,RUSAK RINGAN,SALURAN KIRI JALAN,112.0681036,-8.074898305,112.0716815,-8.07489279,112.0752597,-8.074861618,"{""type"":""MultiPolygon"",""coordinates"":[[[[112.069823023,-8.074886352],[112.070408202,-8.074884822],[112.071877169,-8.074852269],[112.071877699,-8.074852261],[112.073798441,-8.074837655],[112.075259399,-8.074825444],[112.07527063,-8.074827121],[112.075280792,-8.074832174],[112.075288889,-8.07484011],[112.07529413,-8.074850151],[112.075296,-8.074861315],[112.075294318,-8.074872508],[112.075289247,-8.074882636],[112.075281285,-8.074890706],[112.075271209,-8.074895929],[112.075260008,-8.074897793],[112.073799036,-8.074910004],[112.071878518,-8.074924609],[112.07040946,-8.074957163],[112.070408748,-8.074957172],[112.069822909,-8.074958704],[112.069822301,-8.074958701],[112.068103124,-8.074934477],[112.068091933,-8.074932548],[112.068081888,-8.074927268],[112.068073972,-8.074919152],[112.06806896,-8.074908996],[112.068067342,-8.074897793],[112.068069277,-8.07488664],[112.068074576,-8.074876629],[112.068082719,-8.07486874],[112.068092909,-8.074863745],[112.06810415,-8.074862132],[112.069823023,-8.074886352]]]]}",15.jpg
16,16,JLN BROMO 01,KEL SRENGAT,DESA KERJEN,KAUMAN,10,1010,KAUMAN,5,35.05.03,SRENGAT,43.12785208,3,"0,5/0,5",2,ASPAL,4,RUSAK BERAT,SALURAN KANAN DAN KIRI JALAN,112.058927,-8.072578304,112.0575473,-8.072571407,112.056139,-8.072485573,"{""type"":""MultiPolygon"",""coordinates"":[[[[112.058869396,-8.072665859],[112.058861352,-8.072670349],[112.058771408,-8.072706474],[112.05875644,-8.07270907],[112.058560847,-8.072701542],[112.05855712,-8.072701206],[112.058357821,-8.072672862],[112.058091014,-8.072642738],[112.057153284,-8.072582239],[112.056136819,-8.072521684],[112.056125728,-8.07251925],[112.056115935,-8.072513519],[112.056108398,-8.072505052],[112.056103855,-8.072494679],[112.056102751,-8.072483414],[112.056105194,-8.072472361],[112.056110944,-8.072462601],[112.05611944,-8.072455089],[112.056129848,-8.072450562],[112.056141151,-8.072449461],[112.057157706,-8.072510022],[112.057157885,-8.072510033],[112.058096576,-8.072570594],[112.058098318,-8.072570748],[112.058366514,-8.072601029],[112.058367556,-8.072601162],[112.058565521,-8.072629316],[112.058751478,-8.072636473],[112.058829905,-8.072604973],[112.058905359,-8.07254924],[112.058915429,-8.072544006],[112.058926628,-8.07254213],[112.058937861,-8.072543794],[112.058948028,-8.072548837],[112.058956134,-8.072556764],[112.058961386,-8.072566799],[112.058963269,-8.072577961],[112.058961599,-8.072589156],[112.058956539,-8.072599289],[112.058948585,-8.072607368],[112.058869396,-8.072665859]]]]}",16.jpg
17,17,JLN KAWI GG III,KEL SRENGAT,JL KAWI,KAUMAN,10,1010,KAUMAN,5,35.05.03,SRENGAT,94.23719266,3,"1/1,5",2,ASPAL,2,SEDANG,SALURAN KIRI JALAN,112.0671363,-8.075924989,112.0675637,-8.075933445,112.0679911,-8.075941902,"{""type"":""MultiPolygon"",""coordinates"":[[[[112.067991851,-8.075905733],[112.06800303,-8.075907725],[112.068013045,-8.075913062],[112.068020914,-8.075921223],[112.068025868,-8.075931408],[112.068027422,-8.07594262],[112.068025423,-8.075953761],[112.068020067,-8.075963742],[112.068011879,-8.075971585],[112.06800166,-8.075976522],[112.06799041,-8.07597807],[112.067135609,-8.075961157],[112.06712443,-8.075959165],[112.067114415,-8.075953827],[112.067106546,-8.075945667],[112.067101592,-8.075935482],[112.067100038,-8.07592427],[112.067102037,-8.075913129],[112.067107393,-8.075903148],[112.067115581,-8.075895305],[112.0671258,-8.075890368],[112.06713705,-8.07588882],[112.067991851,-8.075905733]]]]}",17.jpg
18,18,JLN PURING,JLN KAWI GG III,JLN BUNTU,KAUMAN,10,1010,KAUMAN,5,35.05.03,SRENGAT,75.33105307,3,0,5,TANAH,4,RUSAK BERAT,,112.0673313,-8.073990773,112.0673384,-8.074331267,112.0673455,-8.074671761,"{""type"":""MultiPolygon"",""coordinates"":[[[[112.067381817,-8.074671007],[112.067380275,-8.07468222],[112.067375331,-8.07469241],[112.06736747,-8.074700578],[112.067357461,-8.074705926],[112.067346284,-8.074707929],[112.067335032,-8.074706392],[112.067324808,-8.074701466],[112.067316612,-8.074693631],[112.067311246,-8.074683656],[112.067309236,-8.074672516],[112.067294978,-8.073991528],[112.06729652,-8.073980315],[112.067301464,-8.073970125],[112.067309325,-8.073961956],[112.067319334,-8.073956609],[112.067330511,-8.073954605],[112.067341762,-8.073956142],[112.067351986,-8.073961069],[112.067360183,-8.073968904],[112.067365548,-8.073978879],[112.067367559,-8.073990019],[112.067381817,-8.074671007]]]]}",18.jpg
19,19,JLN MUSLIM,JLN KAWI,JLN MASJID,KAUMAN,10,1010,KAUMAN,5,35.05.03,SRENGAT,285.8922932,3,"1,5/1",2,ASPAL,2,SEDANG,SALURAN KIRI JALAN,112.0678977,-8.07693759,112.0691945,-8.076924971,112.0704908,-8.076921242,"{""type"":""MultiPolygon"",""coordinates"":[[[[112.069241188,-8.076888339],[112.069663018,-8.076868126],[112.06966551,-8.076868092],[112.070491501,-8.076885074],[112.070502679,-8.076887074],[112.070512689,-8.07689242],[112.070520552,-8.076900586],[112.070525499,-8.076910775],[112.070527043,-8.076921988],[112.070525036,-8.076933128],[112.070519672,-8.076943105],[112.070511478,-8.076950941],[112.070501255,-8.07695587],[112.070490004,-8.07695741],[112.06966526,-8.076940454],[112.069243981,-8.076960641],[112.069242592,-8.076960681],[112.067898062,-8.076973765],[112.067886828,-8.076972103],[112.067876659,-8.076967064],[112.067868551,-8.076959139],[112.067863297,-8.076949105],[112.067861411,-8.076937944],[112.067863078,-8.076926748],[112.067868134,-8.076916614],[112.067876086,-8.076908533],[112.067886154,-8.076903296],[112.067897353,-8.076901416],[112.069241188,-8.076888339]]]]}",19.jpg
20,20,JLN KAWI,JLN RAYA SRENGAT,DS WONOREJO PEREMPATAN,KAUMAN,10,1010,KAUMAN,5,35.05.03,SRENGAT,1681.999605,6,"1,5/1,5",1,HOTMIX,3,RUSAK RINGAN,,112.0690814,-8.06324713,112.0684282,-8.07082078,112.0677479,-8.078392863,"{""type"":""MultiPolygon"",""coordinates"":[[[[112.069090173,-8.063746886],[112.069055838,-8.064385852],[112.069055676,-8.064387847],[112.068912717,-8.065691691],[112.06888496,-8.066073967],[112.068884926,-8.066074395],[112.068866297,-8.066294591],[112.068866126,-8.066296187],[112.068753385,-8.067165833],[112.068735545,-8.067661925],[112.068735385,-8.067664258],[112.068595024,-8.069052017],[112.068465234,-8.070813038],[112.06846521,-8.070813348],[112.068418674,-8.071378193],[112.068418667,-8.071378272],[112.068400039,-8.071598467],[112.068400032,-8.071598551],[112.068306809,-8.072670812],[112.068306746,-8.072671469],[112.068175691,-8.073914885],[112.068139911,-8.074899614],[112.068139728,-8.074902169],[112.068027248,-8.075945518],[112.067933848,-8.076940959],[112.067933816,-8.076941283],[112.067783976,-8.078396556],[112.067781063,-8.078407496],[112.067774902,-8.078417003],[112.067766093,-8.078424148],[112.067755501,-8.07842823],[112.067744161,-8.07842885],[112.067733184,-8.078425947],[112.067723645,-8.078419806],[112.067716476,-8.078411028],[112.06771238,-8.078400471],[112.067711758,-8.07838917],[112.067861582,-8.07693406],[112.06795499,-8.075938533],[112.06795504,-8.075938037],[112.068067409,-8.074895714],[112.068103187,-8.073911029],[112.068103362,-8.073908559],[112.068234513,-8.072664238],[112.068327703,-8.071592347],[112.068346325,-8.071372233],[112.068392844,-8.070807582],[112.06852266,-8.069046227],[112.068522745,-8.069045249],[112.068663038,-8.067658165],[112.068680896,-8.067161565],[112.068681172,-8.067158225],[112.068794026,-8.066287712],[112.06881257,-8.06606853],[112.068840359,-8.065685809],[112.06884048,-8.06568449],[112.068983401,-8.064380983],[112.069017684,-8.06374299],[112.069017687,-8.063742935],[112.06904519,-8.063245141],[112.069047581,-8.063234077],[112.069053285,-8.06322429],[112.069061745,-8.063216739],[112.069072131,-8.063212163],[112.069083429,-8.063211009],[112.06909453,-8.063213392],[112.06910435,-8.063219077],[112.069111927,-8.063227508],[112.069116518,-8.06323786],[112.069117675,-8.06324912],[112.069090173,-8.063746886]]]]}",20.jpg
21,21,JLN TANGKUBAN PERAHU,JLN KAWI,JLN EKO KARYO,KAUMAN,10,1010,KAUMAN,5,35.05.03,SRENGAT,1083.953698,6,"1,7/1",1,HOTMIX,3,RUSAK RINGAN,,112.0677479,-8.078392863,112.0726609,-8.078558874,112.0775738,-8.07875953,"{""type"":""MultiPolygon"",""coordinates"":[[[[112.070043473,-8.078417678],[112.070522754,-8.078406871],[112.070525546,-8.078406915],[112.072715141,-8.078525584],[112.07389609,-8.078560757],[112.073896559,-8.078560774],[112.074953083,-8.078605855],[112.076288147,-8.078659772],[112.076288476,-8.078659787],[112.077575587,-8.078723399],[112.077586703,-8.078725721],[112.077596554,-8.078731352],[112.077604177,-8.078739742],[112.077608825,-8.078750069],[112.077610044,-8.078761322],[112.077607714,-8.078772399],[112.077602063,-8.078782217],[112.077593645,-8.078789814],[112.077583283,-8.078794447],[112.077571992,-8.078795661],[112.076285044,-8.078732058],[112.074950102,-8.078678146],[112.074950019,-8.078678142],[112.073893688,-8.07863307],[112.072712529,-8.07859789],[112.072711643,-8.078597853],[112.070522999,-8.078479236],[112.070044221,-8.078490032],[112.070042432,-8.078490028],[112.067746899,-8.078429026],[112.067735733,-8.078426958],[112.067725756,-8.078421553],[112.067717942,-8.078413339],[112.067713058,-8.078403121],[112.067711581,-8.078391899],[112.067713656,-8.078380771],[112.06771908,-8.078370827],[112.067727321,-8.07836304],[112.067737574,-8.078358172],[112.067748834,-8.0783567],[112.070043473,-8.078417678]]]]}",21.jpg
